2026-03-25 10:14:03 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 10:14:03 | INFO | CI | python=3.14.3
2026-03-25 10:14:03 | INFO | CI | os=Windows 11
2026-03-25 10:14:03 | INFO | CI | shell=powershell
2026-03-25 10:14:03 | INFO | CI | cwd=.
2026-03-25 10:14:03 | INFO | CI | github_actions=False
2026-03-25 10:14:03 | INFO | CI | START script.....
2026-03-25 10:14:03 | INFO | CI | ROOT_PATH = .
2026-03-25 10:14:03 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-25 10:14:03 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-25 10:14:03 | INFO | CI | Logger configured.
2026-03-25 10:14:19 | INFO | CI | ========================
2026-03-25 10:14:19 | INFO | CI | Pipeline executed successfully!
2026-03-25 10:14:19 | INFO | CI | ========================
2026-03-25 10:14:19 | INFO | CI | END main()
2026-03-25 10:14:30 | INFO | CI | === RUN START ===
2026-03-25 10:14:30 | INFO | CI | project=MODULE 3: CORPUS EXPLORATION
2026-03-25 10:14:30 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 10:14:30 | INFO | CI | python=3.14.3
2026-03-25 10:14:30 | INFO | CI | os=Windows 11
2026-03-25 10:14:30 | INFO | CI | shell=powershell
2026-03-25 10:14:30 | INFO | CI | cwd=.
2026-03-25 10:14:30 | INFO | CI | github_actions=False
2026-03-25 10:14:30 | INFO | CI | START script.....
2026-03-25 10:14:30 | INFO | CI | ROOT_PATH = .
2026-03-25 10:14:30 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-25 10:14:30 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-25 10:14:30 | INFO | CI | Logger configured.
2026-03-25 10:14:55 | INFO | CI | ========================
2026-03-25 10:14:55 | INFO | CI | Pipeline executed successfully!
2026-03-25 10:14:55 | INFO | CI | ========================
2026-03-25 10:14:55 | INFO | CI | END main()
2026-03-25 10:31:34 | INFO | CI | === RUN START ===
2026-03-25 10:31:34 | INFO | CI | project=MODULE 3: CORPUS EXPLORATION
2026-03-25 10:31:34 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 10:31:34 | INFO | CI | python=3.14.3
2026-03-25 10:31:34 | INFO | CI | os=Windows 11
2026-03-25 10:31:34 | INFO | CI | shell=powershell
2026-03-25 10:31:34 | INFO | CI | cwd=.
2026-03-25 10:31:34 | INFO | CI | github_actions=False
2026-03-25 10:31:34 | INFO | CI | START script.....
2026-03-25 10:31:34 | INFO | CI | ROOT_PATH = .
2026-03-25 10:31:34 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-25 10:31:34 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-25 10:31:34 | INFO | CI | Logger configured.
2026-03-25 10:31:52 | INFO | CI | ========================
2026-03-25 10:31:52 | INFO | CI | Pipeline executed successfully!
2026-03-25 10:31:52 | INFO | CI | ========================
2026-03-25 10:31:52 | INFO | CI | END main()
2026-03-25 12:41:53 | INFO | CI | === RUN START ===
2026-03-25 12:41:53 | INFO | CI | project=MODULE 3: CORPUS EXPLORATION
2026-03-25 12:41:53 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 12:41:53 | INFO | CI | python=3.14.3
2026-03-25 12:41:53 | INFO | CI | os=Windows 11
2026-03-25 12:41:53 | INFO | CI | shell=powershell
2026-03-25 12:41:53 | INFO | CI | cwd=.
2026-03-25 12:41:53 | INFO | CI | github_actions=False
2026-03-25 12:41:53 | INFO | CI | START script.....
2026-03-25 12:41:53 | INFO | CI | ROOT_PATH = .
2026-03-25 12:41:53 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-25 12:41:53 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-25 12:41:53 | INFO | CI | Logger configured.
2026-03-25 12:42:27 | INFO | CI | ========================
2026-03-25 12:42:27 | INFO | CI | Pipeline executed successfully!
2026-03-25 12:42:27 | INFO | CI | ========================
2026-03-25 12:42:27 | INFO | CI | END main()
2026-03-25 12:53:59 | INFO | CI | === RUN START ===
2026-03-25 12:53:59 | INFO | CI | project=MODULE 3: CORPUS EXPLORATION
2026-03-25 12:53:59 | INFO | CI | repo_dir=nlp-03-text-exploration
2026-03-25 12:53:59 | INFO | CI | python=3.14.3
2026-03-25 12:53:59 | INFO | CI | os=Windows 11
2026-03-25 12:53:59 | INFO | CI | shell=powershell
2026-03-25 12:53:59 | INFO | CI | cwd=.
2026-03-25 12:53:59 | INFO | CI | github_actions=False
2026-03-25 12:53:59 | INFO | CI | START script.....
2026-03-25 12:53:59 | INFO | CI | ROOT_PATH = .
2026-03-25 12:53:59 | INFO | CI | NOTEBOOKS_PATH = notebooks
2026-03-25 12:53:59 | INFO | CI | SCRIPTS_PATH = scripts
2026-03-25 12:53:59 | INFO | CI | Logger configured.
2026-03-25 12:54:05 | INFO | CI | ========================
2026-03-25 12:54:05 | INFO | CI | Pipeline executed successfully!
2026-03-25 12:54:05 | INFO | CI | ========================
2026-03-25 12:54:05 | INFO | CI | END main()
